STEP 0; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=5];
STEP 340; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=15];
STEP 341; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=16];
STEP 342; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=16];
STEP 343; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=17];
STEP 344; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=17];
STEP 345; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=17];
STEP 346; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=16];
STEP 347; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=16];
STEP 348; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=15];
STEP 349; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=14];
STEP 350; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=15];
STEP 351; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=15];
STEP 352; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=15];
STEP 353; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=15];
STEP 354; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=14];
STEP 355; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=15];
STEP 356; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=15];
STEP 357; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=16];
STEP 358; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=16];
STEP 359; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=16];
STEP 360; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=16];
STEP 361; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=17];
STEP 362; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=18];
STEP 363; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=18];
STEP 364; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=18];
STEP 365; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=18];
STEP 366; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=18];
STEP 367; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=19];
STEP 368; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=20];
STEP 369; EVENT OUTCOME COLONIZABLE; STATUS EXPLORE; UNIT rover-1; POSITION Coordinate[X=10, Y=21];
STEP 371; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=21];
STEP 372; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=20];
STEP 373; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=19];
STEP 374; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=18];
STEP 375; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=17];
STEP 376; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=16];
STEP 377; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=15];
STEP 378; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=14];
STEP 379; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=13];
STEP 380; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=12];
STEP 381; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=11, Y=12];
STEP 382; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=11, Y=12];
STEP 383; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=10, Y=12];
STEP 384; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 385; EVENT OUTCOME COLONIZABLE; STATUS BUILD_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 386; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 387; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 388; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 389; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 390; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 391; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 392; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 393; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 394; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 395; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 396; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 397; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 398; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 399; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 400; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 401; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 402; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 403; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 404; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 405; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 406; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 407; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 408; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 409; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 410; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 411; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 412; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 413; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 414; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 415; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 416; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 417; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 418; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 419; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 420; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 421; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 422; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 423; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 424; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 425; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 426; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 426; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 427; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 427; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 428; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 428; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 429; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 429; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 430; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 430; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 431; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 431; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 432; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 432; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 433; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 433; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 434; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 434; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 435; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 435; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 436; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 436; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 437; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 437; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 438; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 438; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 439; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 439; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 440; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 440; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 441; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 441; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 442; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 442; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 442; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=9, Y=10];
STEP 443; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 443; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 443; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=10, Y=10];
STEP 444; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 444; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 444; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 445; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 445; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 445; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 446; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 446; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 446; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 447; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 447; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 447; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 448; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 448; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 448; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 449; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 449; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 449; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 450; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 450; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 450; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 450; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=11];
STEP 451; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 451; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 451; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 451; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=12];
STEP 452; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 452; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 452; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 452; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=13];
STEP 453; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 453; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 453; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 453; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=14];
STEP 454; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=8, Y=11];
STEP 454; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 454; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 454; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=15];
STEP 455; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=9, Y=11];
STEP 455; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 455; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 455; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=16];
STEP 456; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 456; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 456; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 456; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=17];
STEP 457; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 457; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 457; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 457; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=18];
STEP 458; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=11];
STEP 458; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=9];
STEP 458; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=10];
STEP 458; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=19];
STEP 458; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-5; POSITION Coordinate[X=10, Y=11];
